title, date
Domald Tromp Pounded in the Butt by His Fabricated Wiretapping Scandal Made Up to Redirect Focus Away from His Seemingly Endless Unethical Connections to Russia ,March 4 2017
The Handsome Pretendo Swap Joysticks and Portable Screen Slam My Butt While also Allowing Me to Control My Game ,March 8 2017
Pounded in the Butt by the Sentient Manifestation of My Own Ignorant Climate Change Denial ,March 19 2017
Slammed in the Butt by My Own Sentient Rebbit AMA ,April 1 2017
Pounded in the Butt by My Second Hugo Award Nomination ,April 3 2017
Domald Tromp's Ass is Haunted by the Handsome Ghost of His Incriminating Tax Returns ,April 24 2017
Pounded in the Wallet and the Butt by the Failed Fyber Music Festival ,April 29 2017
I'm In Love With The Handsome Mummy Racecar In My Butt ,May 7 2017
Living Corn James Corny Fired In The Butt ,May 10 2017
Pounded In The Butt By My Book "Pounded In The Butt By My Book 'Pounded In The Butt By My Book "Pounded In The Butt By My Book 'Pounded In The Butt By My Book "Pounded In The Butt By My Own Butt"'"' ,May 23 2017
Slammed By My Handsome Fidget Spinner ,May 26 2017
Pounded in the Butt by Covfefe ,May 31 2017
There's a Bitcoin in my Butt and he is Handsome ,July 1 2017
Domald Tromp Jr. Slammed in the Butt by his Secret Russian Meetings and the Grossly Incompetent Cover Up Shortly Thereafter ,July 16 2017
Pounded In The Butt By The Fact That It Took Less Time For This Book To Be Written And Published Than The Entire Length Of Tony Scarymoochy’s Term As White House Communications Director ,July 31 2017
My Butt is Comforted by the Realization that I'm Okay and Everything Will Be Alright ,August 17 2017
Billionaire Elons Mugg Takes the Handsome Planet Mars in his Butt ,August 31 2017
The Handsome Physical Manifestation of Autumn Turns me Gay ,September 6 2017
Game of Butts: The Pounds of Winter ,September 12 2017
Pounded By the Handsome Zombie Elevator Who is Also A Lawyer ,October 4 2017
Sentient Fort Pauls Manofort is Charged in the Butt while Tromp's Foreign Policy Advisor Georgie Papadop Admits he Lied About Hiding Inside ,October 29 2017
Pounded in the Butt by the Handsome Physical Manifestation of Holiday Shopping ,November 20 2017
Heavy Metal Unicorn Lawyer Sings into my Butthole Legally ,December 21 2017
Sentient Phantom Tow Truck Pounds My Butt ,January 18 2018
Slammed in the Butt by my Handsome Laundry Detergent Pod ,January 19 2018
Taken Hotly By My Handsome Physically Manifested Hot Take ,February 2 2018
Pounded In The Butt By The Sentient Physical Manifestation Of Valentine's Day ,February 8 2018
The Butt Files: The Case of Bigfoot's Wiener ,February 19 2018
My Handsome Mountain Bike is a Doctor and he Pounds my Butt ,February 25 2018
Rammed In The Butt By The Handsome Sentient Manifestation Of Traffic Who Is A Bad Boy ,March 22 2018
Pounded In The Butt By My Podcast "Night Vale Presents Pounded In The Butt By My Podcast With Chuck Tingle" ,March 29 2018
News Commentator Sam Hannity Pounded In The Butt By The Fact That He Didn't Disclose He Has The Same Lawyer As The President ,April 17 2018
Buttnight Buttle Royale ,April 30 2018
Tuesday Pounds Me in the Butt ,May 14 2018
Seduced By The Handsome Physically Manifested Sound That Some People Hear As Yanny And Others Hear As Laurel ,May 15 2018
Wednesday Pounds Me in the Butt ,May 21 2018
Thursday Pounds Me in the Butt ,May 23 2018
Friday Pounds Me in the Butt ,May 24 2018
Saturday Pounds Me in the Butt ,May 25 2018
Sunday Pounds Me in the Butt ,May 26 2018
The Banana In My Butt Is A Handsome Lifeguard ,June 27 2018
Pounded In The Butt By My Reluctance To Buy A Humble Bundle Featuring Stories With Gay Characters As Though That Has Some Kind Of Bearing On My Own Sexuality Or The Quality Of The Product Then Eventually Realizing It's Pretty Good And I'm Fine ,July 2 2018 (Humble Bundle exclusive)
Don’t Vote For Virginia Congressional Hopeful Denber Wiggleman Because He Is Full Of Hate Not Because Bigfoot Makes Him Hard ,July 29 2018
The Call Is Coming From Inside Your Butt ,August 5 2018
Veep Throat: Mike Bence Pounded In The Butt By The Word Lodestar ,September 5 2018
The Hard Way: Anally Seduced By The Handsome Pterodactyl High Roller ,September 11 2018
Wereplane Butt Party ,September 23 2018
Pounded In The Butt By The Blue Wave ,October 4 2018
The Fear Of The Unknown Gives My Butt Pause But Then I Realize How Powerful And Unique I Am And We Pound Enthusiastically ,October 25 2018
Not Pounded In The Butt By Anything And That's Okay ,November 9 2018
Not Pounded In The Butt By My Book ″Not Pounded In The Butt By Anything And That's Okay″ And That's Okay ,November 11 2018
Pounded In The Butt By The Physical Manifestation Of Awkward Political Dinner Discussion Over The Thanksgiving Holiday ,November 18 2018
Rudolph The Red-Nosed Butt Raptor ,December 5 2018
The Federal Government Shuts Down My Butt ,January 4 2019
Slammed In The Butt By My Sentient Plant Based Vegetarian Cheeseburger ,January 17 2019
Pounded In The Butt By The Handsome Sentient Manifestation Of My Twitch Stream ,January 25 2019
There's A Polar Vortex In My Butt And He Is Handsome ,January 31 2019
Not Pounded At The Last Second Because Consent Can Be Given And Revoked At Any Moment And This Is A Wonderful Thing That’s Important To Understand ,February 6 2019
Slammed In The Butt By A Poorly Rendered Computer Generated Blue Genie ,February 11 2019
Dressed Up Handsome And Not Pounded Because Cosplay Is Not Consent ,February 12 2019
Pounded In The Butt By My Book “Pounded In The Butt By My Book “Pounded In The Butt By My Book ‘Pounded In The Butt By My Book “Pounded In The Butt By My Book ‘Pounded In The Butt By My Book “Pounded In The Butt By My Own Butt”’”’” ,February 21 2019
Canada Pounds My Butt And Covers My Pancakes With Real Maple Syrup In An Erotic Way Also It Is Delicious ,March 7 2019
Pounded In The Butt By The Crushing Existential Weight Of Sentient Self-Awareness ,March 17 2019
Quietly Pounded In The Butt By ASMR ,March 26 2019
Brexit Pounds My Butt Then Thankfully Decides Not To Exit It ,March 31 2019
Pounded In The Butt By Fan Fiction Hosting Website Archive Of Our Own's Hugo Award Nomination ,April 4 2019
Revengers Buttgame: Antguy Gets Small To Go Into Thamos' Butt And Then Gets Big And Hard ,April 9 2019
The Entire Continent of Australia Pounds Me in the Butt ,May 5 2019
Nice Guy Dinosaur Doesn't Pound Me In The Butt Because I'm Not Interested And He's Not Actually Nice He's Just Annoying And Creepy And Doesn't Respect My Boundaries When I Tell Him We're Not On A Date ,May 22 2019
Not Pounded By The Physical Manifestation Of My Need To Please Everyone Because Sometimes It's Okay To Give Back To Yourself ,June 6 2019
Pounded In The Butt By The Physical Manifestation Of Chuck Tingle's Science Fiction And Comic Book Convention Appearance ,June 24 2019
Pounded In The Butt By The Sun After Declining To Use Sunscreen ,July 3 2019
The Tell-Tale Butt ,July 9 2019
Pounded In The Butt By Area 51 While Attempting To Storm It ,July 14 2019
Sentient Lesbian Jet Ski Gets Me Off ,July 21 2019
Pounded By My Handsome Bigfoot Pilot: A Trans Buckaroo Tale ,July 23 2019
My T-Rex Barber Is A Lesbian And She Eats Me Right ,July 24 2019
Bisexually Sandwiched By My Sentient Peanut Butter Husband And Our New Living Jelly Girlfriend ,July 28 2019
A Butt In The Mist: Stirred To The Core Of My Bodice By The Duchess Triceratops Of Helena ,August 11 2019
My Librarian Is A Beautiful Lesbian Ice Cream Cone And She Tastes Amazing ,August 13 2019
My Husband And I Find Our Unicorn And She's A Bigfoot Also My Husband Is A Dinosaur ,August 15 2019
Moby Butt ,August 16 2019
We Are Loving Bisexuals And They Are Living Bicycles ,August 20 2019
Eaten Right By The Mysterious S Symbol Everyone Used To Draw ,August 22 2019
Lightly Flavored Zero Calorie Carbonated Water Gets Me Off ,August 27 2019
The Sentient Physical Manifestation Of Halloween Eats Me Out ,October 7 2019
Not Pounded By Self-Doubt Because I Can Do Anything I Set My Mind To ,October 15 2019
Not Pounded By My Soul-Crushing Job Because I Quit ,December 17 2019
Eaten Right By A Sabertooth Cat At The Premiere Of The Bizarre And Frightening Film Adaption Of Sabertooth Cats The Musical ,December 27 2019
Not Pounded By Romance Wranglers Of America Because Their New Leadership Is From The Depths Of The Endless Cosmic Void ,January 2 2020
Our Special Tonight Is A Salt-Crusted Shepard’s Pie Deconstruction Served Over Slow-Roasted Turnips With Green Olive Aioli And A Side of Your Butthole ,January 9 2020
The Houseplant That I Never Water Gets Me Off ,January 24 2020
My Ass Is Haunted By The Handsome Ghost Of My Unsaved Data After A Computer Crash ,February 3 2020
The Sun And The Moon Bang Me Bisexually ,February 6 2020
Pounded In The Butt By This Hangover Oh My God I’m Never Drinking Again Except For Maybe On Rick’s Birthday And Then On That Trip This Weekend But Other Than That I’m Probably Never Drinking Again ,February 17 2020
New York City Is A Lesbian And She Eats Me Right ,February 23 2020
Your Honor Pound My Butt ,March 5 2020
Pounded In The Butt By The Sentient Physical Manifestation Of My Slippery Slope Argument ,March 21 2020
Not Pounded By Anything While I Practice Responsible Social Distancing ,March 22 2020
Bisexual Vampire Unicorns Teach Me The Importance Of The Vampire Cough ,March 23 2020
The Physical Manifestation Of Washing My Hands Gets Me Off ,March 23 2020
Punk Rock Parasaurolophus Eats My Ass ,March 29 2020
The Overwhelming Existential Weight Of Staying Inside Drives Me Nuts But Makes Me Nut ,April 22 2020
Bisexual Arcade Machines Work My Slot ,May 16 2020
The Sentient Bread I Just Baked Is A Lesbian And She Eats My Ass ,May 17 2020
Not Pounded By The Conspiracy Theory That I Just Shared Online Because It's Not Real ,May 20 2020
These Boots Are Made For Pounding And That's Just What They'll Do One Of These Days These Boots Are Gonna Pound Me In The Butt ,May 26 2020
That Last Missing Piece For The Jigsaw Puzzle I've Been Working On All Week Is Handsome And He'll Pound Me In The Butt Once I Find Him: A Trans Buckaroo Tale ,May 30 2020
Lesbian Megalodon Shark Lifeguard Summer Butt Hunt ,June 3 2020
Four Out Of Five Dentists Recommend That This Toothpaste Pounds Me In The Butt ,June 7 2020
Trans Wizard Harriet Porber And The Bad Boy Parasaurolophus: An Adult Romance Novel ,June 12 2020
The Legend Of Sleepy Butthole ,June 15 2020
Not Pounded By The Physical Manifestation Of Someone Else's Doubt In My Place On The Autism Spectrum Because Denying Someone's Personal Journey And Identity Like That Is Incredibly Rude So No Thanks ,June 19 2020
Bisexual Mothman Mailman Makes A Special Delivery In Our Butts ,June 27 2020
Helicopter Man Pounds Dinosaur Billionaire Ass ,July 17 2015
Buttageddon: The Final Days of Pounding Ass,August 17 2015
Trans Wizard Harriet Porber And The Bad Boy Parasaurolophus: An Adult Romance Novel, June 12 2020
